username,password,firstname,lastname,email,course1
testuser1,password123,Test,User1,testuser1@localhost.com,course1
testuser2,password123,Test,User2,testuser2@localhost.com,course2
testuser3,password123,Test,User3,testuser3@localhost.com,course3
testuser4,password123,Test,User4,testuser4@localhost.com,course4
testuser5,password123,Test,User5,testuser5@localhost.com,course5
testuser6,password123,Test,User6,testuser6@localhost.com,course6
testuser7,password123,Test,User7,testuser7@localhost.com,course7
testuser8,password123,Test,User8,testuser8@localhost.com,course8
testuser9,password123,Test,User9,testuser9@localhost.com,course9
testuser10,password123,Test,User10,testuser10@localhost.com,course10
testuser11,password123,Test,User11,testuser11@localhost.com,course11
testuser12,password123,Test,User12,testuser12@localhost.com,course12
testuser13,password123,Test,User13,testuser13@localhost.com,course13
testuser14,password123,Test,User14,testuser14@localhost.com,course14
testuser15,password123,Test,User15,testuser15@localhost.com,course15
testuser16,password123,Test,User16,testuser16@localhost.com,course16
testuser17,password123,Test,User17,testuser17@localhost.com,course17
testuser18,password123,Test,User18,testuser18@localhost.com,course18
testuser19,password123,Test,User19,testuser19@localhost.com,course19
testuser20,password123,Test,User20,testuser20@localhost.com,course20
testuser21,password123,Test,User21,testuser21@localhost.com,course21
testuser22,password123,Test,User22,testuser22@localhost.com,course22
testuser23,password123,Test,User23,testuser23@localhost.com,course23
testuser24,password123,Test,User24,testuser24@localhost.com,course24
testuser25,password123,Test,User25,testuser25@localhost.com,course25
testuser26,password123,Test,User26,testuser26@localhost.com,course26
testuser27,password123,Test,User27,testuser27@localhost.com,course27
testuser28,password123,Test,User28,testuser28@localhost.com,course28
testuser29,password123,Test,User29,testuser29@localhost.com,course29
testuser30,password123,Test,User30,testuser30@localhost.com,course30
testuser31,password123,Test,User31,testuser31@localhost.com,course31
testuser32,password123,Test,User32,testuser32@localhost.com,course32
testuser33,password123,Test,User33,testuser33@localhost.com,course33
testuser34,password123,Test,User34,testuser34@localhost.com,course34
testuser35,password123,Test,User35,testuser35@localhost.com,course35
testuser36,password123,Test,User36,testuser36@localhost.com,course36
testuser37,password123,Test,User37,testuser37@localhost.com,course37
testuser38,password123,Test,User38,testuser38@localhost.com,course38
testuser39,password123,Test,User39,testuser39@localhost.com,course39
testuser40,password123,Test,User40,testuser40@localhost.com,course40
testuser41,password123,Test,User41,testuser41@localhost.com,course41
testuser42,password123,Test,User42,testuser42@localhost.com,course42
testuser43,password123,Test,User43,testuser43@localhost.com,course43
testuser44,password123,Test,User44,testuser44@localhost.com,course44
testuser45,password123,Test,User45,testuser45@localhost.com,course45
testuser46,password123,Test,User46,testuser46@localhost.com,course46
testuser47,password123,Test,User47,testuser47@localhost.com,course47
testuser48,password123,Test,User48,testuser48@localhost.com,course48
testuser49,password123,Test,User49,testuser49@localhost.com,course49
testuser50,password123,Test,User50,testuser50@localhost.com,course50
